id,price
0,95.999115
1,52.82493
2,61.16033
3,92.44804
4,103.490585
5,127.144775
6,150.45811
7,57.441628
8,102.34269
9,86.63402
10,8.431708
11,110.37688
12,136.81732
13,63.680683
14,522.8188
15,35.55037
16,62.77378
17,143.58046
18,126.06037
19,68.1297
20,148.9277
21,120.59643
22,102.6346
23,70.042305
24,121.55468
25,256.5822
26,139.36256
27,77.509995
28,123.390686
29,167.88026
30,163.86378
31,98.64799
32,129.71669
33,147.7736
34,201.45528
35,82.79794
36,139.52733
37,164.3944
38,156.08774
39,125.902916
40,128.68959
41,98.06511
42,111.09063
43,306.29465
44,210.10902
45,282.50275
46,247.7301
47,123.09713
48,84.74782
49,130.61705
50,88.92505
51,176.2706
52,104.32917
53,57.81683
54,85.18156
55,154.69426
56,269.66415
57,74.89698
58,104.83192
59,191.87248
60,161.00188
61,145.16806
62,258.15634
63,189.14265
64,83.17843
65,105.04386
66,92.614784
67,106.54079
68,36.43512
69,236.64037
70,115.520546
71,519.7996
72,121.68528
73,74.92274
74,71.8638
75,88.76157
76,164.59598
77,154.7964
78,113.27992
79,129.44923
80,130.83607
81,112.12195
82,74.34859
83,103.63724
84,117.67449
85,101.053024
86,75.949104
87,57.145046
88,452.70847
89,116.68272
90,130.7509
91,103.41076
92,156.84006
93,83.74774
94,112.0512
95,404.45685
96,78.46405
97,83.68429
98,133.9885
99,116.27083
100,122.23244
101,437.64325
102,150.64598
103,236.67415
104,80.81415
105,107.88105
106,-34.639893
107,219.1278
108,75.69452
109,150.22849
110,152.25073
111,126.70397
112,181.06161
113,78.75524
114,114.84162
115,140.70457
116,106.92288
117,125.35987
118,119.27699
119,77.73701
120,222.87306
121,137.21928
122,141.09195
123,116.06261
124,63.491806
125,75.69021
126,142.89081
127,170.73975
128,130.50262
129,124.77092
130,135.67215
131,120.57695
132,132.08115
133,176.98148
134,109.12717
135,339.59296
136,200.69266
137,43.55644
138,136.64803
139,80.38513
140,294.20752
141,147.058
142,177.26884
143,134.09392
144,157.24762
145,70.675865
146,129.14906
147,93.737
148,104.95708
149,218.04428
150,74.173584
151,49.74216
152,142.146
153,460.602
154,104.512924
155,196.60365
156,233.60185
157,302.67023
158,73.14028
159,96.94573
160,115.758316
161,394.92038
162,46.900112
163,137.95378
164,185.74883
165,261.89706
166,178.4331
167,135.17628
168,102.83708
169,162.037
170,214.02779
171,151.84534
172,106.490555
173,127.50156
174,129.57977
